Target,Model,MAE,RMSE,R2
target_AQI_24h,Ridge - target_AQI_24h,0.6332421167375458,0.7859462386982901,-1.6743648040889325
target_AQI_24h,Random Forest - target_AQI_24h,0.37265143572077913,0.5964708884256681,-0.5403289314890922
target_AQI_48h,Ridge - target_AQI_48h,0.8008732002002961,0.9265367145302945,-2.7167233375359094
target_AQI_48h,Random Forest - target_AQI_48h,0.4884312625433316,0.6605886379302864,-0.8892836558102402
target_AQI_72h,Ridge - target_AQI_72h,0.7672160526077177,0.9366659212870736,-2.5774327440124742
target_AQI_72h,Random Forest - target_AQI_72h,0.47796490147783255,0.5995022834830461,-0.46549291066698717
